Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
VRSN,REGN,-3.5902521650282204,0.025190218132230394,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21932562316487514,595.9433625727407,12,0,0
ROP,RF,-3.3567866719434156,0.04738196189892924,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.24379604716403874,-781.9820165545646,23,0,0
STT,RF,-3.3911075127376424,0.0433477974783233,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.195343927017227,-1366.303184531201,21,0,1
RF,UAA,-4.351158572684596,0.0021281230660664735,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15648930527327853,17.889781905065142,18,0,0
RF,UA,-3.9478722312982124,0.00850948933036252,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16480340796530824,41.10441026346346,34,0,0
VRSN,RF,-3.8492152337853582,0.011640058420342863,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17502584546840935,1450.5729019223634,18,0,0
V,RF,-3.641237146775813,0.02176515227255444,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18714338219759355,-749.271235665769,25,0,0
SRE,RSG,-3.381083706450925,0.04449536059663985,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23668173264273093,213.3390937151453,27,0,0
SJM,RSG,-3.734273466622515,0.016546872442370308,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16166487961962647,101.64612896319358,39,0,0
VRSN,RSG,-3.5896226029969087,0.025235259852026144,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18645273820071526,445.29650362872616,15,0,0
V,RSG,-3.7159568789416073,0.01747755914255015,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1852971320968141,-800.4190339759737,29,0,0
ROP,RMD,-3.38517207404236,0.04402429739647788,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.27181891035774247,-974.9907049381156,23,0,0
ROK,RHI,-3.3626600914348534,0.046670353845484146,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20089080092865808,-764.9820472175786,15,0,1
RHI,STX,-3.495521695532443,0.03279445030505617,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18184180737024613,10.64488588039629,26,0,0
SWKS,RHI,-3.7449043711685754,0.01602690066975178,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17700139572323748,-654.0974479468624,17,0,0
SJM,RHI,-3.5231417514682057,0.030398326289380297,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18863722513398745,197.43176070848568,23,0,0
TROW,RHI,-3.983606087297988,0.007577325286504539,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2009731237355116,-691.3690343454012,15,0,0
TFC,RHI,-3.578121577953665,0.026070380960661617,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2422162730574612,-171.67720550604793,23,0,0
TWTR,RHI,-3.7599172254190667,0.015317083819533485,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.201027635158141,88.93513846733455,21,0,0
V,RHI,-4.106739758932167,0.005028463777452162,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17642373800528374,-2707.0300278634327,41,0,0
WAT,RHI,-3.6476695609829135,0.021363127232790588,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.25999666982607855,-475.3093072699154,13,0,0
WELL,RHI,-3.7473889355838272,0.015907468228399477,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18748608845390846,14.09919859558036,23,0,0
WTW,RHI,-3.7326925951790093,0.016625446853158143,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19266110492007874,3224.701537437977,28,0,0
ROK,ROST,-3.7608384612228143,0.015274442909685503,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20101295593922755,-667.0895426253429,17,0,0
ROK,RCL,-3.6213833171440903,0.023047666929539933,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20366248485983046,-853.0198442690707,21,0,0
ROK,STX,-3.993068764368006,0.007346404187966445,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2040190123406078,-749.4312453806522,15,0,0
SRE,ROK,-3.347642699515039,0.04850764865294783,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15924944653897535,-372.71486098721516,13,0,0
ROK,SPG,-3.4269118424047376,0.039448100439667795,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22576636492288912,-1338.8582417688144,20,0,0
ROK,SJM,-4.36132796323802,0.002050681158966221,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.14818684021219006,-428.25182540994115,15,0,0
ROK,SNA,-3.68422363807818,0.01919878037213228,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18630362874809997,309.8767052133529,18,0,1
ROK,LUV,-4.306227647552809,0.002503772753411072,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18971124995526684,-627.8023365716629,15,0,1
ROK,SWK,-4.37354389367995,0.001961108239782907,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15796763534571545,693.7577468546568,48,0,1
ROK,SBUX,-4.931336524414827,0.00021974449056951618,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18938223278452856,-652.0375231173992,35,0,0
ROK,STE,-4.507982017733786,0.001188195165213316,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15142345736404506,773.9506211352626,26,0,0
