,stock A,Stock B,Cointegration coefficient,Correlation coefficient
110,ADSK,TXN,0.005409352196503573,0.9776497262244834
111,ADI,AVGO,0.005478646733703765,0.9862407308081881
112,TGT,TSCO,0.005500045112476941,0.9603711103457537
113,ADSK,NOW,0.005524358182150261,0.9790338244108615
114,CZR,POOL,0.00552942621719753,0.9244939759744402
115,TFC,PNC,0.0055580049593078,0.9749995464474783
116,EW,STE,0.0055646542039659306,0.9816217539724008
117,ZBH,SYK,0.0056161032905031475,0.8780602133732244
118,CB,CINF,0.0058086064641916235,0.9360426602638009
119,SWKS,NLOK,0.005826461579779188,0.893703753929279
120,NWSA,NWS,0.00588305430354857,0.9963677870518393
121,CDNS,TER,0.00596278180488111,0.9785456097010807
122,FISV,INTC,0.006193602404629304,0.9431114983767036
123,ES,XEL,0.006240196906430431,0.9921480067277177
124,ZBH,IDXX,0.006451055554646981,0.8543041692909806
125,LLY,CRL,0.006465717043923764,0.9678104670848228
126,IDXX,MTD,0.006502246046364714,0.9849479113347201
127,ZBH,BIO,0.006534514343646499,0.8372296686920587
128,CDAY,ENPH,0.006547907595486816,0.9287689337441646
129,FIS,GPN,0.006719264204333974,0.9876943814140428
130,FBHS,UPS,0.006728960092820869,0.9345522691204136
131,EBAY,POOL,0.006789799365361104,0.9590308836413425
132,LLY,RMD,0.006986445367513412,0.9658703070861141
133,LIN,SHW,0.006998676786104607,0.9808880225795897
134,SRE,CMS,0.007236186048626731,0.9505330769396291
135,ZBH,ABT,0.007474701096994591,0.8539902752493455
136,CARR,ROK,0.007535074154851556,0.9729749871231451
137,PH,UPS,0.00754338836322449,0.9342179918082915
138,ZION,NTRS,0.007545816076274711,0.956638648774044
139,RJF,FITB,0.007547679210246953,0.9738207538104503
140,TMO,BIO,0.007559989997597685,0.9899668270246554
141,CFG,RF,0.007623627394508943,0.9841440578709059
142,WEC,D,0.007870607458826354,0.9547622741714851
143,EBAY,KMX,0.007910929356280792,0.9140905332122763
144,BRO,AON,0.007964822448080083,0.9827711271241009
145,PBCT,BK,0.007989910102406057,0.9084238220321408
146,PAYC,NOW,0.008044506785546033,0.9870439917880282
147,DOW,PPG,0.00805003816627231,0.9504196751546538
148,YUM,DRI,0.008168346360548744,0.9536360288840346
149,TER,LRCX,0.008192021587615785,0.9896014183964893
150,IDXX,PKI,0.008376812200974557,0.982450858509593
151,ESS,UDR,0.008467937738055372,0.9873805447828269
152,CFG,NTRS,0.008547402338996965,0.9601624128022915
153,LH,IDXX,0.008567699862298989,0.9613386157146564
154,FLT,INTC,0.008581200374175866,0.9130020053250785
155,ROK,JBHT,0.008606009452128702,0.9630445430540977
156,PTC,HPQ,0.008619557786271147,0.9491548324513336
157,IFF,VMC,0.008928994788476507,0.8124713968352656
158,AIZ,ICE,0.00899516119093452,0.9599555262310683
159,MPWR,NVDA,0.009320617452290299,0.9809156319089463
160,HBAN,NTRS,0.009354396903242256,0.9543473974775725
161,PAYC,AMD,0.009454884393365656,0.9696659433497457
162,JNJ,DGX,0.00953991323807377,0.9467428438550485
163,BWA,GPS,0.009779219487181726,0.8306899377879102
164,NKE,POOL,0.009883952893934522,0.976772095134278
165,DE,EMR,0.009928029509404539,0.9447876801472921
166,CARR,PNR,0.009934873494782222,0.9867993483047773
167,TXN,ADI,0.009955780395126563,0.9919419743165017
168,TYL,MSFT,0.01000450190895006,0.9806470768097597
169,SYK,ANTM,0.010191333828985774,0.9706186762329804
170,INTC,V,0.010475141386923622,0.929297068932505
171,TGT,LEN,0.010483713301976389,0.9293842431274606
172,GLW,HPQ,0.010513136272131126,0.9437596619755784
173,APA,BKR,0.010548794684092526,0.8981966912597933
174,QRVO,AAPL,0.01061912038562088,0.965013572254673
175,CMS,D,0.010633481091920385,0.9579095425489913
176,ETSY,NKE,0.01064368998478007,0.9598924605211172
177,ZTS,ABT,0.010748159888257692,0.9846735324675275
178,CDAY,TYL,0.010833482228186912,0.9565616400768379
179,QRVO,SWKS,0.010920717177450703,0.9716277576902215
180,ABBV,UNH,0.010942819066062875,0.9535612083338243
181,KMX,APTV,0.011034019261767263,0.9174729066296939
182,TER,SNPS,0.011218075596954005,0.9795007102315608
183,DRI,BKNG,0.011367674610696009,0.9086074555025949
184,TJX,ORLY,0.011467210021495125,0.9536601646196697
185,JBHT,PH,0.011488371476129479,0.9561695625961085
186,LLY,PKI,0.01152313421002631,0.9588830782275585
187,PCAR,TDG,0.011602271582563476,0.9081922936529344
188,SIVB,MS,0.011759735085216886,0.9736086042588666
189,URI,PNR,0.011766427678305243,0.9226941115885084
190,GLW,PTC,0.01181876693728461,0.943140029594304
191,ZBH,STE,0.011884340398182801,0.8630417048376124
192,AKAM,ANSS,0.011986109705147003,0.9139727516164864
193,IEX,HON,0.012162495119639613,0.9846038866462703
194,ANSS,CRM,0.012227386791022412,0.9749952207995602
195,NTRS,HIG,0.01242224830490158,0.9008216247516397
196,FIS,INTC,0.01289555673084437,0.9360932324552066
197,TSLA,LEN,0.012995846463572694,0.9058693300898998
198,NOW,MSFT,0.013010119029395039,0.9896396985676594
199,C,NTRS,0.013191080009468842,0.9078335648363194
200,PEP,KO,0.013299668506617318,0.9684722089165037
201,MET,MS,0.013377754065804876,0.9170920468381001
202,FIS,FISV,0.013470299697481907,0.982526597597964
203,GPN,FISV,0.013501528366752448,0.988618698395893
204,ZBH,AMGN,0.013660657328321944,0.8622088027176724
205,LEN,KMX,0.01368691706446442,0.9279699534351075
206,MMC,AON,0.013852583846293058,0.9916020109095154
207,AMD,MPWR,0.013869622527116217,0.9761808032587986
208,AVGO,MCHP,0.013902353073415913,0.9790850755528492
209,NOW,TER,0.014036764263136763,0.9669357233720399
210,TYL,SNPS,0.014086060465352228,0.9769259208663352
211,D,LNT,0.014164623048976675,0.9496971260222368
212,PNR,GNRC,0.01435429875053432,0.9008056168020199
213,RE,GL,0.014398430025781546,0.9394157693381905
214,NSC,IEX,0.014822484132761769,0.979088207326394
215,RF,NTRS,0.015288588361795603,0.9620568014477837
216,CDW,XLNX,0.015300233001778794,0.9411979539221643
217,CB,FRC,0.015374939809362283,0.9144312129285563
218,GPN,INTC,0.015435568689548174,0.9359627244843111
219,WAT,LH,0.015454958426565945,0.9576814428416399
220,JNJ,HUM,0.015456341474444272,0.9447083971780241
221,MNST,CL,0.015619905900714253,0.9062541220558461
222,EW,MDT,0.01563565656975462,0.9739993607033088
223,ETR,ES,0.015705941098523326,0.9595537709509039
224,MET,SIVB,0.016209991973446646,0.8977674195978338
225,AME,J,0.016346257368694155,0.9664629876198412
226,APH,CRM,0.016404150939790238,0.9571261677693872
227,NTRS,KEY,0.016416207144653937,0.9474236264590241
228,CINF,AFL,0.01650900143282878,0.9420930401557601
229,TMUS,CHTR,0.016516959036000717,0.9816309849975204
230,AEP,CMS,0.016570739733189965,0.9912618141146078
231,L,USB,0.01667166089079422,0.9156009487320489
232,NKE,ORLY,0.016687666690224926,0.9571873324958827
233,ZBH,WAT,0.016746403391981045,0.8260378998238033
234,ADI,ADSK,0.01681479670748922,0.9780242116966882
235,LYB,AVY,0.016882617264765806,0.8701388626852635
236,BRO,ICE,0.016916924780589503,0.9812777169622929
237,ISRG,PFE,0.016989985395593488,0.9313865040412899
238,ZBH,ABBV,0.01711603795639438,0.8054569106475901
239,INFO,FAST,0.017224259012098952,0.9705225824240251
240,APH,ADI,0.017432957978614137,0.9863529057564114
241,BIO,PKI,0.017564018873471445,0.980093830557402
242,TER,MPWR,0.017726953213728643,0.9673423180863894
243,ETSY,POOL,0.01775351138982105,0.9562473058020937
244,JNJ,UNH,0.017863649392756312,0.9706872604354363
245,BIO,LLY,0.017972467282921862,0.9637938632952135
246,MDLZ,PG,0.017985584336215624,0.9511483442025389
247,ZBH,LLY,0.018016254132500412,0.8093621008073066
248,OTIS,PNR,0.018323545178492745,0.9661302846430043
249,FB,CMCSA,0.018377935482735513,0.9542660615880397
250,EXPD,XYL,0.018418684883446855,0.9741057016555055
251,ORCL,IT,0.01842039622444217,0.9509544133807794
252,ADBE,ADI,0.018624209396096728,0.9702532279530119
253,SYF,MET,0.018642006756699275,0.9134447699048465
254,CI,JNJ,0.018810501143479968,0.8856132521997174
255,ILMN,COO,0.018818215716844586,0.9208552881294435
256,PHM,BBY,0.01897279929759825,0.9555849645160314
257,WAT,HCA,0.0195528343341339,0.9495548815323489
258,ETSY,KMX,0.01984625343025002,0.9156084503058484
259,MDT,RMD,0.019970579322816796,0.9387087692643348
260,C,USB,0.01997414351963868,0.9329688972220697
261,ZBH,TMO,0.02017354256272204,0.8482646907949294
262,CI,ABBV,0.02024062057540446,0.8971035391646134
263,GM,GPC,0.020248101411584677,0.860264971038718
264,HLT,PHM,0.02027350958391813,0.9439599521033211
265,ICE,WRB,0.020351096577964717,0.9665982003108073
266,PAYX,MSI,0.020448899730448566,0.9770900519091891
267,BSX,BDX,0.020468764522577964,0.9655052567260958
268,TT,UPS,0.020711724911637922,0.9488886734391703
269,KMX,TSCO,0.020840655704202106,0.9009491578901464
270,AMAT,NXPI,0.02086858571783515,0.9590250888928007
271,BKNG,HAS,0.02087258947419605,0.8509378864952428
272,ITW,MAS,0.020984675661940407,0.979991530346112
273,PAYC,ADI,0.021060720566645964,0.9609325711748993
274,ZBH,IQV,0.02107626648568645,0.8671204983251832
275,ICE,SPGI,0.021126045541155963,0.9785176623071727
276,IQV,LLY,0.021127651918716205,0.9583363796905543
277,ZBH,UNH,0.02122869772939103,0.8454210128260571
278,ZBH,ZTS,0.02126171847188591,0.8564457463512062
279,ZION,KEY,0.021409934878496583,0.9731097046509516
280,DPZ,PHM,0.02145225667361312,0.9069303380100586
281,TFC,HIG,0.021511480207136502,0.9090019445667404
282,TECH,CRL,0.02160900186984148,0.9865956948113277
283,ALLE,CTAS,0.021772599575185694,0.9580723196356091
284,TMO,PKI,0.021873724493036924,0.9804392746231546
285,D,AEE,0.021910118396243166,0.9407635062518753
286,HSY,PG,0.022027953093883383,0.9713678080311902
287,NTRS,JPM,0.02205351950552376,0.952532004185027
288,CDNS,MSFT,0.02205984423630795,0.9899452419616079
289,TDG,J,0.02218995346875625,0.9334198468554393
290,TT,J,0.022288092173960473,0.9708634022524038
291,ADP,CDW,0.022310543312560566,0.9807961201526487
292,AON,SPGI,0.022314806380766213,0.9743205908024205
293,LH,PKI,0.022477150846867227,0.948201480278105
294,PKI,ALGN,0.022565025333457965,0.9628661178684809
295,TDG,ROP,0.022678894298296618,0.9619068836520727
296,AJG,SPGI,0.02267944801653647,0.980890083206006
297,CB,AIZ,0.023088764534462982,0.9221550019272698
298,MTD,IQV,0.02317736679910435,0.9747985371742991
299,A,LH,0.023312884708863568,0.9575984072734389
300,INTC,MA,0.02336385388234073,0.9235063208323313
301,NTRS,CB,0.02341543222444385,0.9070742441005608
302,OTIS,ROK,0.023463415712345694,0.9522818680588147
303,MMC,AIZ,0.023566797814810702,0.9664517214782137
304,AFL,TRV,0.023628621270056674,0.944263270045554
305,BKNG,BBY,0.023693537447994614,0.8474552970474577
306,CMI,PCAR,0.023780346997093613,0.9729922455452956
307,PAYC,TER,0.023788490825578087,0.9505897766343763
308,KEYS,PAYC,0.024054939945356672,0.9766452478501302
309,ILMN,STE,0.024139826278633172,0.9263291278481444
310,FLT,FIS,0.024324655064681636,0.9381861078764927
311,PEP,MDLZ,0.024437826589693356,0.9696794279573105
312,IEX,CTAS,0.024561785358065778,0.9804168723783332
313,PWR,PNR,0.024998776567857414,0.9380094854769959
314,TMO,DHR,0.02521009010711009,0.9907905703635321
315,EW,RMD,0.025218055830685426,0.9689429658807723
316,HUM,ABBV,0.0253313420744645,0.9340566719308334
317,CTRA,MRO,0.025465526675136938,0.847406179282287
318,IR,PH,0.02572903239677799,0.9514274627932877
319,PCAR,VRSK,0.025817551193448626,0.9074664961753568
320,IR,URI,0.025837011391848755,0.9422798872081227
321,RE,C,0.025885847283705136,0.8489334240087635
322,J,FAST,0.025914753811713907,0.9605596546688959
323,BK,ZION,0.02606331916609765,0.9172107606587179
324,MCHP,ADSK,0.026102019002524984,0.9618000626693995
325,EMR,JBHT,0.026158072680805923,0.9367244124341219
326,DGX,UNH,0.026162205665916854,0.9526167456650697
327,BRO,MSCI,0.026421015076834673,0.9763304608657781
328,BAC,NTRS,0.026563011052291325,0.9665911491819476
329,WBA,TAP,0.02660923640773222,0.8257995992490516
330,PKI,DHR,0.026613141548379547,0.978562190486214
331,RE,CINF,0.026614786278194108,0.9030376295731443
332,APH,PAYX,0.02677505439424868,0.9741087345186407
333,KO,HSY,0.026817770900363656,0.9390653110296102
334,ACN,ORCL,0.026835012535781192,0.9583755789445341
335,TFC,CB,0.026983142252150896,0.9120627794555284
336,PPG,AVY,0.027108989078760578,0.9166694705207218
337,CZR,GPC,0.027119595559207853,0.9053433589909218
338,PCAR,HON,0.02722817421069264,0.9168193634350046
339,UNH,PFE,0.027380306376057165,0.9271531571183204
340,MDT,STE,0.02748232709415313,0.9615153245026651
341,BAX,BDX,0.02753172289608339,0.9670623287730745
342,TFC,SCHW,0.02760630082855476,0.9443469289753278
343,CDAY,ADBE,0.027800629218399726,0.9568944696004249
344,YUM,HLT,0.028113758004459276,0.9533867869405949
345,HAS,DRI,0.028130699065141873,0.8611261612703595
346,DGX,ABBV,0.028328438588317732,0.9144745454441747
347,HBAN,TRV,0.028578123845995916,0.9049628669795065
348,HUM,ILMN,0.02867297906114039,0.9005867176358857
349,PAYX,ACN,0.02878738260610717,0.9780374529303117
350,TSLA,TGT,0.028818368590531846,0.9352160354530135
351,NTRS,RJF,0.028916868570104354,0.9486501900215976
352,TER,TYL,0.028979614495231874,0.9649141025615923
353,ORCL,ZBRA,0.029043293124551787,0.9606904519228837
354,HPQ,FFIV,0.029104820109468684,0.8902305274517313
355,LYB,PKG,0.029684741256788712,0.8547737777119118
356,CBOE,RE,0.030049502614337083,0.8994345973909305
357,AON,AJG,0.03008188982936613,0.9796229896978146
358,COST,EL,0.030124703614208093,0.9755412080018049
359,TFC,TRV,0.03013885948072744,0.9221368565763496
360,CHRW,CSX,0.030204801306963867,0.8905325610519677
361,CARR,FTV,0.030208272491460204,0.9256797420194102
362,PHM,KMX,0.030222623296053425,0.9356808234151911
363,LEN,POOL,0.030241879346359163,0.9273335787860089
364,ES,SRE,0.03059888585252803,0.9408942036020959
365,TECH,LH,0.030645717801567808,0.9472787500667865
366,CB,HIG,0.030646597333107133,0.9303789270702436
367,NXPI,LRCX,0.030666566493318184,0.944543644315163
368,WU,INTC,0.03076368239516172,0.8471264177406747
