Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,MMM,253139.5592114096,133.0137306942308,0
BTC,AOS,inf,67.60997814889191,0
BTC,ABT,280654.0211267512,145.8306748218903,0
BTC,ABBV,112154.7501128003,129.32058237421035,0
BTC,ABMD,34158.14024254482,23.4111056334944,0
BTC,ACN,inf,72.63410189689274,0
BTC,ATVI,222631.18673392475,105.77385081298678,0
BTC,ADM,178080.5578566724,72.64909594370107,0
BTC,ADBE,34949.79898207313,76.40302731000345,0
BTC,ADP,275164.41516801075,147.34814487817988,0
BTC,AAP,inf,73.93607163078906,0
BTC,AES,188275.71538453092,32.91403625743808,0
BTC,AFL,277568.1697631782,134.39386312567063,0
BTC,A,37784.96234808971,59.55689292788452,0
BTC,AIG,inf,47.85949253241692,0
BTC,APD,82064.28412500289,103.13819519984702,0
BTC,AKAM,307915.26970210555,200.9698576819621,0
BTC,ALK,165909.15592281098,45.190753801091105,0
BTC,ALB,59552.701579147564,60.65665044477131,0
BTC,ARE,286788.22721948323,166.303712688495,0
BTC,ALGN,5153233.275422934,101.21225927064728,0
BTC,ALLE,84648470.15971552,139.13046539045558,0
BTC,LNT,306689.0924284351,197.97410700298076,0
BTC,ALL,309122.73613073525,204.32134406025594,0
BTC,GOOGL,93014.15282184871,80.250973901106,0
BTC,GOOG,109056.77338884171,80.31968096918504,0
BTC,MO,280793.81646179646,155.5909323451479,0
BTC,AMZN,169088.85198244994,92.16028940119138,0
BTC,AMCR,88406.77083333168,91.51258883413576,0
BTC,AMD,244081.06778622596,61.64936793070932,0
BTC,AEE,307546.2762361406,199.65668296005038,0
BTC,AAL,241410.15980484447,70.04803486274785,0
BTC,AEP,312593.7573620846,214.55494473049032,0
BTC,AXP,202803.44896421727,78.73030871367604,0
BTC,AMT,314835.28744439385,234.7908319925243,0
BTC,AWK,281527.39707668824,144.24937550257613,0
BTC,AMP,3178247.0872661257,29.192474122908894,0
BTC,ABC,212519.66924449618,134.88024633858913,0
BTC,AME,4343226.318452705,62.81877902210402,0
BTC,AMGN,298322.67522135493,189.323486259731,0
BTC,APH,289504.5340983709,111.39494140774025,0
BTC,ADI,1582300.6080728192,96.1820051941337,0
BTC,ANSS,214622.83431871462,108.62977333723589,0
