Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
IPGP,DVA,-3.560869097794714,0.027367630303315203,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2007450491240852,-584.4530453363573,19,0,0
LW,DVA,-3.5448220777982296,0.028623525599986765,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23883121720253458,618.1130962280773,13,0,0
MKTX,DVA,-3.5045918105923493,0.031990499752756654,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1968723735043083,9795.972818101474,30,0,0
MTCH,DVA,-3.6543216162631795,0.020954171095014996,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22175370703304112,111.55397372654585,19,0,0
NFLX,DVA,-3.860849740240238,0.011223962239625938,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1612635090835188,3912.1605086842455,38,0,0
PKG,DVA,-3.700315130777357,0.0183083147377165,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15563732979053588,285.8931448248042,33,0,0
ROK,DVA,-3.783874611949006,0.014241639629455455,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17554939114371074,-596.2588449600702,29,0,0
TMUS,DVA,-3.682685885679858,0.01928582213097318,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16608599364009358,104.49721063950246,30,0,0
EL,DE,-3.5734975575002434,0.026412779486091876,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20715984761670392,163.36387588622873,17,0,0
FLT,DE,-4.0037530118877385,0.007093317274714736,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16567164174193133,191.05761492568016,13,0,0
GNRC,DE,-4.118524573905714,0.004830959981431836,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16946597453158288,43.9187510750794,32,0,1
INTU,DE,-4.003340005408791,0.007102952368214211,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18701965539625448,128.82921949117048,23,0,0
MLM,DE,-3.480714577171073,0.0341437219560982,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17910483158352608,39.37463356280006,17,0,0
