Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
MMM,AOS,-4.5782735153503165,0.0009080795379545486,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.14796980270289092,-820.8402065614468,17,0,1
ACN,MMM,-3.651427872507528,0.021131229683557656,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15859277978713163,-444.12200237823095,13,0,0
AAP,MMM,-4.131583434114921,0.0046203812345158605,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18867901056355257,25.558658619685463,29,0,0
MMM,AFL,-3.387410899196628,0.04376810040873302,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15024505812115205,-622.1803361931442,19,0,0
MMM,A,-3.6894963834410226,0.018902923076243888,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15546944677534355,576.8772481649949,22,0,0
AKAM,MMM,-3.6314349866932685,0.02239040247689595,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15643984773269776,-283.4390729886543,17,0,0
MMM,ALK,-3.941610203396023,0.008683064420397455,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1420736290070483,-2021.6539048427721,35,0,1
MMM,ALLE,-3.796452370880381,0.013704168759958368,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.14270777072733146,-8542.383672257332,15,0,1
AXP,MMM,-3.4847215937741036,0.03377403269232971,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17888211524817588,485.43026407553884,20,0,0
MMM,AME,-3.4302743595511282,0.039097456808782134,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17486694433691716,1039.361074393098,20,0,1
MMM,ANTM,-3.4436554111215374,0.037727869102149605,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22389566482094161,-679.1891183639221,15,0,0
AON,MMM,-3.3490538901475984,0.048332495126215326,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2053872453853832,145.25219512126353,37,0,0
MMM,BAC,-3.5285489164300428,0.02994712510466824,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15068105799141004,-668.9680380086987,13,0,0
MMM,BBWI,-5.165468656630464,8.078988848311404e-05,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.12691783738120158,4035.888900264068,29,0,0
WRB,MMM,-4.617104867972909,0.000781189973581083,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1520268688872727,-810.6802979604018,15,0,0
MMM,BRK.B,-4.513172074502175,0.001165026286534344,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20653793543171614,-768.4817118484046,15,0,0
MMM,CDNS,-3.547177852191222,0.02843612266015397,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16391267333542706,261.3582943048804,28,0,0
CZR,MMM,-3.4356812008834496,0.03853911213973506,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17663267138222166,548.4035277844574,15,0,0
CPB,MMM,-3.5896233284767325,0.02523520790803054,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.13767282366573824,-384.5070971719759,15,0,0
MMM,CBRE,-3.8445652652300972,0.011810161252184665,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1417888969427214,-2288.2816789007966,31,0,0
