Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
DVA,HPE,inf,9.641439616736202,0
DVA,HLT,inf,4.591099257013803,0
DVA,HOLX,0.0,16.829592490553352,1
DVA,HD,inf,7.113943204759256,0
DVA,HON,inf,1.8194624755205104,0
DVA,HRL,inf,38.58176901283562,0
DVA,HST,inf,7.339583012279004,0
DVA,HWM,inf,154.93541817292976,0
DVA,HPQ,inf,19.40906271512072,0
DVA,HUM,inf,22.334189718282424,1
DVA,HII,inf,51.900349275692214,0
DVA,HBAN,inf,13.719392234673688,0
DVA,IEX,inf,6.880140483578645,0
DVA,IDXX,inf,18.851926498427712,1
DVA,ITW,inf,5.557884397687237,0
DVA,ILMN,inf,15.580532863834383,1
DVA,INCY,inf,63.01704365465318,1
DVA,IR,inf,7.752893129653687,0
DVA,INTC,inf,54.507143049617525,0
DVA,ICE,inf,10.589983954138939,0
DVA,IBM,inf,30.160094548396483,0
DVA,IP,0.0,7.8634492433636565,0
DVA,IPG,0.0,17.99988961864442,0
DVA,IFF,inf,39.01452943479351,0
DVA,INTU,inf,2.9477467312529866,0
DVA,ISRG,inf,3.368421841176003,1
DVA,IVZ,inf,92.16181015675434,0
DVA,IPGP,inf,27.34637974353893,0
DVA,IQV,0.0,3.053381382649502,1
DVA,IRM,inf,10.739229334550824,0
DVA,JBHT,inf,5.288785247819646,0
DVA,JKHY,inf,38.858146757875296,0
DVA,J,inf,4.733946252341081,0
DVA,JNJ,inf,35.38567851780697,1
DVA,JCI,inf,30.593467901563812,0
DVA,JPM,inf,5.462225271711285,0
DVA,JNPR,inf,34.490380384936486,0
DVA,K,inf,42.94459447474582,0
DVA,KEY,inf,15.2749459981715,0
DVA,KEYS,inf,5.2506731144415575,0
DVA,KMB,inf,43.50328080239192,0
DVA,KIM,0.0,49.540761891294814,0
DVA,KMI,inf,38.34647547457332,0
DVA,KLAC,inf,17.904112625265967,0
DVA,KHC,inf,13.218342181148877,0
DVA,KR,inf,30.71738975512459,0
DVA,LHX,inf,41.811856850208976,0
DVA,LH,0.0,4.268078785565726,1
DVA,LRCX,inf,30.751293706734472,0
DVA,LW,inf,4.576646132249673,0
DVA,LVS,0.0,4.487380141114347,0
DVA,LDOS,inf,35.91416962736031,0
DVA,LEN,0.0,87.01608312174395,0
DVA,LLY,inf,25.612387596530986,1
DVA,LNC,inf,23.62620261901429,0
DVA,LIN,inf,4.0224594462993,0
DVA,LYV,0.0,57.60919452207163,0
DVA,LKQ,0.0,33.482010143254755,0
DVA,LMT,inf,45.99625458525536,0
DVA,L,inf,6.836391639066562,0
DVA,LOW,inf,35.26023624106689,0
DVA,LUMN,inf,18.935012160611272,0
DVA,LYB,0.0,40.04877430145689,0
DVA,MTB,inf,11.975498995747442,0
DVA,MRO,inf,55.88819120765805,0
DVA,MPC,0.0,39.123442065333975,0
